"country","years","rest_ha_yr","scenario"
"Saint Kitts and Nevis",47,0.0280153737279741,"PR"
"Saint Lucia",47,0.0178115133836707,"PR"
"Saint Vincent",47,0.0116561346930801,"PR"
"Samoa",47,0.0127712952520315,"PR"
"Sao Tome and Principe",47,1.97188795368592e-05,"PR"
"Saudi Arabia",47,14.6608777161655,"PR"
"Senegal",47,165.427154775197,"PR"
"Seychelles",47,0.110403451610331,"PR"
"Sierra Leone",47,30.932398529116,"PR"
"Singapore",47,0.406713042476331,"PR"
"Solomon Islands",47,38.1909490052668,"PR"
"Somalia",47,2.8089334539577,"PR"
"South Africa",47,3.34315976707988,"PR"
"Sri Lanka",47,70.8459850100981,"PR"
"Sudan",47,0.271087152491096,"PR"
"Suriname",47,202.523237749416,"PR"
"Taiwan",47,0.627469622705575,"PR"
"Tanzania",47,84.5785434316557,"PR"
"Thailand",47,363.515343359032,"PR"
"Tonga",47,0.612134706592433,"PR"
"Trinidad and Tobago",47,9.80135124358545,"PR"
"Turks and Caicos Islands",47,23.3352517467939,"PR"
"United Arab Emirates",47,13.8776625493857,"PR"
"United States",47,502.890246483126,"PR"
"Vanuatu",47,0.40635518851778,"PR"
"Venezuela",47,269.818424296532,"PR"
"Vietnam",47,394.752963869827,"PR"
"Virgin Islands",47,0.0782041500560727,"PR"
"Yemen",47,0.498974161222099,"PR"
"American Samoa",47,0.000519913059664544,"R2"
"Angola",47,63.9431692138994,"R2"
"Anguilla",47,0.0426131023872485,"R2"
"Antigua and Barbuda",47,0.782420412263261,"R2"
"Aruba",47,0.690566509181767,"R2"
"Australia",47,1491.2896985432,"R2"
"Bahamas",47,402.314688163298,"R2"
"Bahrain",47,0.148464412583693,"R2"
"Bangladesh",47,627.153161267052,"R2"
"Barbados",47,0.00114842464635875,"R2"
"Belize",47,258.20247135185,"R2"
"Benin",47,1.11907781654811,"R2"
"Bonaire",47,1.51733468458214,"R2"
"Brazil",47,2156.43861436392,"R2"
"British Virgin Islands",47,0.0189273534925472,"R2"
"Brunei",47,15.562181231962,"R2"
"Cambodia",47,205.198143344322,"R2"
"Cameroon",47,125.439654146073,"R2"
"Cayman Islands",47,6.50506117177482,"R2"
"China",47,54.7290608998765,"R2"
"Colombia",47,867.014739098812,"R2"
"Comoros",47,0.00992986441263003,"R2"
"Costa Rica",47,58.8570483607965,"R2"
"Cuba",47,762.983638417678,"R2"
"Curaco",47,0.591542182573878,"R2"
"Democratic Republic of the Congo",47,41.8963806377921,"R2"
"Djibouti",47,0.454856699124551,"R2"
"Dominica",47,0.00199038224322736,"R2"
"Dominican Republic",47,36.5026836220293,"R2"
"East Timor",47,1.48958510948276,"R2"
"Ecuador",47,405.445677493711,"R2"
"Egypt",47,0.356926408865751,"R2"
"El Salvador",47,78.275978095646,"R2"
"Equatorial Guinea",47,22.397780098499,"R2"
"Eritrea",47,10.1153534539036,"R2"
"Fiji",47,28.0289401094502,"R2"
"French Guiana",47,191.360150070328,"R2"
"Gabon",47,144.009941298742,"R2"
"Gambia",47,58.2555513361184,"R2"
"Ghana",47,86.8908596621337,"R2"
"Grenada",47,0.0962975036954473,"R2"
"Guadeloupe",47,0.714944280858007,"R2"
